reference,hypothesis,audio_path,wer,cer
Onu Ran Min adlı qardaşlığı öldürmüşdü., Onur ağam min adı qardaşlığı öldürmüştü.,data/clips/common_voice_az_30651707.mp3,0.8333333333333334,0.1794871794871795
Yarada iki əsas dəyişiklik baş verir.," Yara da, 2 səs dəyişiklik baş verir.",data/clips/common_voice_az_26658645.mp3,0.6666666666666666,0.1891891891891892
Komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir., Qab-Sumul gülü yaxan qalandı yəldəşən mərkəzdən tifayət gədər art oldu yəldəşir.,data/clips/common_voice_az_26658646.mp3,1.1111111111111112,0.36363636363636365
Film iki seriyadan ibarətdir., Filmi 2 seriyadan ibarətdir.,data/clips/common_voice_az_36638179.mp3,0.5,0.10344827586206896
Bunun səbəbləri müxtəlifdir., Bunun səbəqlərimi xudəlifdir.,data/clips/common_voice_az_36638181.mp3,0.6666666666666666,0.21428571428571427
Bəyazid taxta keçdikdən sonra İshaq Paşanı yenidən sədrəzəm seçdi., Bəyazid taxta çəstikdən sonra hisslak paşanı yenidən södrəzəm sətisti.,data/clips/common_voice_az_38555101.mp3,0.5555555555555556,0.24242424242424243
Salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı., Salartə xəllüsü ilə ruhu aləminə əqun şiirlər yazırdı.,data/clips/common_voice_az_38555102.mp3,0.625,0.12962962962962962
Cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər., Zəvabında qazəqlar narazı şəhsləri qıyı ataraq öldürdülər.,data/clips/common_voice_az_38555103.mp3,0.5714285714285714,0.16666666666666666
Netflix nədir?, Netflix Nədər,data/clips/common_voice_az_38555104.mp3,0.5,0.21428571428571427
Müsabiqədən sonra onu artıq hamı tanımağa başlayır., Nüsabibədən sonra onu artı xamrı tanımaca başlayır.,data/clips/common_voice_az_38206777.mp3,0.5714285714285714,0.11764705882352941
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər., İnsanlar və həyvanların biskülərlə zəhərlənməsi muxtalif zəhəblərdən baş verə bilər.,data/clips/common_voice_az_38206778.mp3,0.4,0.08333333333333333
Həmin il Yaponiya Misirin müstəqilliyini tanımışdır., Həmin il Yaponiya Misirin müstəqiliyini tanımışdır.,data/clips/common_voice_az_38206779.mp3,0.16666666666666666,0.019230769230769232
Beş uşaq atası idi., Pəşh uşa qatasə idi.,data/clips/common_voice_az_38206780.mp3,0.75,0.3157894736842105
Film Türkiyə yazıçısı Nazim Hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır., Film Türkiyə yazısı Səni Nazım Hikmətin yenilə adlı əsərinin motivləri əsasında yadılmışdır.,data/clips/common_voice_az_27426027.mp3,0.6,0.1590909090909091
Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.," Yoxarı aharlarda batıqlaşmış, ərazdən ahır və suyu dəyəz olur.",data/clips/common_voice_az_27426028.mp3,0.6666666666666666,0.12903225806451613
Ölkə ərazisindən axan Niger çayının adı ilə adlanır., ölçəri halisində Aqqan-i Nijertayinin adilə adlanır.,data/clips/common_voice_az_27426029.mp3,0.875,0.38461538461538464
Elə orta məktəbi də həmin kənddə bitirib., Elə orta məşdəbi də həmin çəktə bitirib.,data/clips/common_voice_az_27426031.mp3,0.2857142857142857,0.14634146341463414
Daha sonra həmin məktəbin direktoru olur., Daha sonra həmin məcdəbin direktoru olur.,data/clips/common_voice_az_40603073.mp3,0.16666666666666666,0.04878048780487805
Atası qızına mükəmməl təhsil vermək arzusunda idi.," Atası, kızına mükəmmil təhsil vermək arzusundaydı.",data/clips/common_voice_az_40603074.mp3,0.7142857142857143,0.12
Turizm qoruq ətrafındakı bütün ərazilərin inkişafının əsas sahəsidir.," Turizm koruq ətirafında üçü bütün ərazilər, inkişafının əsas sahəsidir.",data/clips/common_voice_az_40603076.mp3,0.5,0.11594202898550725
Hər yeddi ildən bir keçirilir., Hər yetti elədən bir çesirilir.,data/clips/common_voice_az_40603077.mp3,0.6,0.2
Qrup artıq fəaliyyətini dayandırmışdır., Grup artıq fəyəliyyətini də ayandırmışdır.,data/clips/common_voice_az_30416717.mp3,1.0,0.1282051282051282
İyunun əvvəlində çiçəkləyir.," Yəni, nəvvəlində çiçəkləyiz.",data/clips/common_voice_az_30416718.mp3,1.0,0.25
Bundan sonra isə körpü bərpa edilməmişdir., Bundan sonrı isə çöripü bərpə edilməmişdir.,data/clips/common_voice_az_30416719.mp3,0.5,0.09523809523809523
Dinozavrlar arasında ən uzun boyuna malik imiş., Din azabırda arasında ən uzun boyuna malikmiş.,data/clips/common_voice_az_30416720.mp3,0.5714285714285714,0.1702127659574468
Qurultayda Azərbaycanın bütün bölgələrini və tədris müəssisələrini təmsil edən nümayəndələr iştirak edirdilər., Qurul Tayda Azərbaycanın bütün böcülərini və tədris məhsələrinin təmzələ nümaynları iştirə çedirdilər.,data/clips/common_voice_az_30416721.mp3,0.75,0.21818181818181817
Ölkə müsabiqədə iştirak etdiyi illər ərzində heç vaxt qalib olmamışdır., Ölkem savqiyada ştrak etdiyi ilər ərzində heç vaqqali boğmamışdır.,data/clips/common_voice_az_40474176.mp3,0.7,0.23943661971830985
Ortada qalan meydançanın iki tərəfini tağlar və onların arxasında yerləşən otaqlar təşkil edir., Ortada qalan mədən çanın iki tərəfi taqlar və onlar narasında yerləşən o taqlar təşkil edir.,data/clips/common_voice_az_40474177.mp3,0.6153846153846154,0.11578947368421053
Dəmirçilər Tərtər rayonunun eyniadlı inzibati ərazi vahidində kənd., Dəmirçilər Tərtəl Royonunun eynil adlı inzibakə rəhisi vahidində kənd.,data/clips/common_voice_az_40474178.mp3,0.75,0.16417910447761194
Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir., Maqaraların girecəyində aşqəridilmiş mədəni təbəqə qaldları onların qədin insan məsqələri olduğunu göstərir.,data/clips/common_voice_az_40474179.mp3,0.5384615384615384,0.0990990990990991
İlk işi Şabran şəhərini ələ keçirmək oldu., İlki kişi Şabran şəhri nələ keçirmək oldu.,data/clips/common_voice_az_40474180.mp3,0.5714285714285714,0.14285714285714285
Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.," Alə Amir uşaq yaşlarında, ailəsi ilə birlik də İsrailə kötü edib.",data/clips/common_voice_az_29987070.mp3,0.5,0.0967741935483871
Kanalda İngilis və İspan dillərdə proqramlar nümayiş olunur.," Kanalda, İngiliz və İspandillərdə proqramlar nümayış olunur.",data/clips/common_voice_az_29987078.mp3,0.625,0.06666666666666667
Təhsilini davam etdirmək istəsə də mümkün olmayıb.," Təhsilini, davam etdirməc istəsə də mümkün olmayıb.",data/clips/common_voice_az_29987089.mp3,0.2857142857142857,0.04
Cənubi Koreyada.," Canubi, Corea da",data/clips/common_voice_az_29987092.mp3,1.5,0.375
Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır., Məxətləri ilərdə fərqilə sahələrdə iş fəaliyyətinə başlayır.,data/clips/common_voice_az_29987093.mp3,0.42857142857142855,0.13559322033898305
Kolbasa tam və ya doğranmış şəkildə servis edilir., Kalbasa tam və ya doğranmış açıldə servis edilir.,data/clips/common_voice_az_37653110.mp3,0.25,0.1
Çar ordusunda zabit kimi xidmət etmişdi., Sar ordusunda zabit kimi xidmət etmişdir.,data/clips/common_voice_az_37653111.mp3,0.3333333333333333,0.05
Adada göl yoxdur., Adada göl yoxdur.,data/clips/common_voice_az_37653112.mp3,0.0,0.0
Bayraq mərasimi himnin sonu və cavabdeh müəllimin əmri ilə başa çatır., Bayrak mələsimi himnin sonu və çababdək müəllemin əmriyi də başa satır.,data/clips/common_voice_az_37653113.mp3,0.6363636363636364,0.17142857142857143
Orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir.," Orta həsirlərdə geniş yayılmış bu oyun, klasikə dəbiyatımızın limunələrinəndə dəbəldədir.",data/clips/common_voice_az_37653114.mp3,0.6363636363636364,0.17045454545454544
"İngiltərədə nəşr edilmiş bu ""Divan""da məhəbbət lirikası üstünlük təşkil edirdi.", İngiltəradən əşr edilmiş bu divanda mühəbbətleri qazı üstünlük təşkil edirdi.,data/clips/common_voice_az_30574004.mp3,0.5,0.1518987341772152
Gürcüstan hökumət qüvvələri tez bir zamanda Abxaziyanın böyük bir hissəsinə nəzarəti bərpa etdi., Kürcistan hükümet quvvələri tiz bir zamanda Abqal camın qəyik bir hissəslə nəzarəti bərbəyətdir.,data/clips/common_voice_az_30574005.mp3,0.7692307692307693,0.22916666666666666
"Bundan başqa Xızır Nəbi ""Aşıq Qərib"" dastanının Azərbaycan versiyasının qəhrəmanıdır.", Bundan başqa xızır nəbi aşıq qərib dastandan Azərbaycan versəsinin qəhrəmandır.,data/clips/common_voice_az_30574006.mp3,0.7,0.17647058823529413
Hindistanla Rusiya arasındakı strateji tərəfdaşlıq beş sahəni əhatə edir., İngilizcanlı Rusya rasunda strateji tərəf təklik 5 sahanı əhat edir.,data/clips/common_voice_az_30574007.mp3,0.8888888888888888,0.3424657534246575
Qəsəbə adını oradakı eyniadlı çayın adından almışdır., Gəsəbə adını oradaki eynadlı çayın adından almışdır.,data/clips/common_voice_az_30574008.mp3,0.42857142857142855,0.05660377358490566
Lena çayın sağ sahilində yerləşir., Lena çayın sağaq sakhilimdə yerləşir.,data/clips/common_voice_az_43516613.mp3,0.4,0.11764705882352941
Ağstafa rayonunun Muğanlı kəndində dəfn olunub., Axtafa arəməmün uğanul qəndində dəfnə olmaq.,data/clips/common_voice_az_43516614.mp3,1.0,0.3829787234042553
Bir oğul övladı var., Birə xul övlədə var.,data/clips/common_voice_az_43516617.mp3,0.75,0.25
Əsasən qar suları və yeraltı sularla qidalanır., Esəl sən qar suları və yer altı sularla gideladır.,data/clips/common_voice_az_43516622.mp3,0.7142857142857143,0.1702127659574468
Humanizm tərəfdarı deyildi., Humanizm təri aqdara deyipdə.,data/clips/common_voice_az_43516623.mp3,1.0,0.25925925925925924
Əsasən dağlıq ərazidir., S.L. Dağılır ərazir.,data/clips/common_voice_az_43516624.mp3,1.0,0.4782608695652174
İmişli şəhərində dəfn olunub., imişli şəhərində dəfin olunub.,data/clips/common_voice_az_37772750.mp3,0.5,0.06896551724137931
Həmin dövrdən indiyədək Heydər Əliyev adına Saraya ləyaqətlə rəhbərlik edir.," Həmin dövrdən indiyanə dək, Hedərəliyə vadnəs saraya layaqətlər əhbərliyə yıqır.",data/clips/common_voice_az_37772752.mp3,0.8,0.3026315789473684
Hər iki xəstəliyi aradan qaldıra bildi., Hər iki xəssəli aradan qaldırabildi.,data/clips/common_voice_az_37772755.mp3,0.5,0.10256410256410256
Şəhər alim və ixtiraçı Nikola Teslanın doğulduğu yerdir., Şəhər alim və ixtiratlı Nikola Təslanın doğulduğu yerdir.,data/clips/common_voice_az_37772757.mp3,0.25,0.05357142857142857
Və Braziliyanın ən böyük futbol klublarından biri hesab olunur., və Brazilyanın ən bəyi fıtboqlurlarından biri hesab olunur.,data/clips/common_voice_az_37772797.mp3,0.5555555555555556,0.15873015873015872
Hazırda xarabalıqları qalır., Hazırda xara balıxlar qaldır.,data/clips/common_voice_az_37772798.mp3,1.0,0.14285714285714285
Daun sindromu ilə doğulan uşaqlarla erkən məşğul olmaq lazımdır., Down syndrome-i ilə doğulan şaqlarla ərkən məşğul olmaq lazımdır.,data/clips/common_voice_az_37772799.mp3,0.4444444444444444,0.125
Salyan rayonunun Sarvan inzibati ərazi vahidində kənd., Salyan rayonunun sarva nizibati ərazı vahidində çandı.,data/clips/common_voice_az_37772800.mp3,0.5714285714285714,0.14814814814814814
Şaxtalı aylarda sahil ərazilər donur., Şəxdalı aylarda sahil ərazlər donur.,data/clips/common_voice_az_37772801.mp3,0.4,0.08108108108108109
Siyasi mövzularda bir neçə kitabın müəllifidir., Siyasi möllarda bir nəcə kitabın və elifliridir.,data/clips/common_voice_az_36559374.mp3,0.6666666666666666,0.2553191489361702
İon kristallarda meydana gəlir.," Yəni, qalası dallarda mədələ gəlir.",data/clips/common_voice_az_36559378.mp3,1.0,0.5161290322580645
Göl Balıqçılıq üçün əlverişlidir., Göz balasılıq üçün alübarışlıdır.,data/clips/common_voice_az_36559405.mp3,0.75,0.36363636363636365
Şuşada doktor Mirzə Hüseyn bəy kimi tanınırdı., Şuşa da doktoru Mərdə Hüseyin bəyi kimi tanınırdı?,data/clips/common_voice_az_36559407.mp3,1.0,0.15217391304347827
Bir müddət kikboksinq və futbol ilə məşğul oldu.," Bərimərdəd ki, bossing ging və fətbəl eləmək qululdu.",data/clips/common_voice_az_36559408.mp3,1.0,0.4791666666666667
Uzun qara geyimləri və quru bir atı vardır., Ozun Qaraqəyimləri və quru bir adı vardır.,data/clips/common_voice_az_36559409.mp3,0.5,0.13953488372093023
Bütün işlər barışıq hakimi tərəfindən təkbaşına həll edilirdi., Bütün müşrəl qarışıq hakiməyə tərəfindən təkbəşinə hələ dəlirdi.,data/clips/common_voice_az_36559441.mp3,0.75,0.22580645161290322
Komanda yoldaşları bunun Oliverin mübarizə aparmaq üsulu olduğunu düşünürlər., Oman da yoldaşlara bunun oluverim və bazarı abarmak o söylü olduğunu düşünürlər.,data/clips/common_voice_az_36559442.mp3,1.0,0.2727272727272727
Nuri bəy bu ilk cəhdindən böyük qazanc əldə etdi., Norubay bu ilk çəhdindən böyük qalınç əldə əddər.,data/clips/common_voice_az_36559444.mp3,0.5555555555555556,0.24489795918367346
Qurdlar camaatının bir tirəsinin adı idi., Qurlar çamatın bir tiresinin adı idi.,data/clips/common_voice_az_40474196.mp3,0.5,0.14634146341463414
Saray kompleksi İran Mədəni İrs Təşkilatı tərəfindən idarə olunur., Saray Kompleksi İran Medeni ifstəşkilatı tərəfindən idare olunur.,data/clips/common_voice_az_40474199.mp3,0.5555555555555556,0.12121212121212122
Vətən müharibəsi başlayır., Vətən məlbəsi başlayır.,data/clips/common_voice_az_40474200.mp3,0.3333333333333333,0.19230769230769232
Virus qaraciyərdə və qanda tapılar., virus qaraciərdə və qanda taplar,data/clips/common_voice_az_40474226.mp3,0.6,0.11428571428571428
Ərazisində çöl bitkiləri üstünlük təşkil edir., Eraycisində çöl bitkilər üstünlük təşkil edir.,data/clips/common_voice_az_40474229.mp3,0.3333333333333333,0.08695652173913043
Hərbi xidmətini başa vurduqdan sonra Abbasov Mingəçevir şəhərində elektrik quraşdırma idarəsində çalışıb., Hər bir xidmətini başa vurduqdan sonra Abbasov Mingə çevir şəhərində elektrik quraşdırmayı dəarehsində çalışıb.,data/clips/common_voice_az_40474230.mp3,0.5,0.08571428571428572
Günəş Yerə ən yaxın ulduzdur., Günə şəri ən yaxın uduzdur.,data/clips/common_voice_az_40474243.mp3,0.6,0.1724137931034483
Elşən Salayev Vətən Müharibəsində qəhrəmancasına şəhid olmuşdur., İnşin Salayıf Mətən mühalbəsində Qəhrimancasına şəyh doğmuşdur.,data/clips/common_voice_az_40474245.mp3,1.0,0.234375
Quyruğu qısa olur., Qoyrux xısa olur.,data/clips/common_voice_az_40474263.mp3,0.6666666666666666,0.2222222222222222
Mahmud ailənin yeganə oğul övladı olmuşdur., Mahmudayləni yeqani oğul evlədə olmuştur.,data/clips/common_voice_az_40474264.mp3,0.8333333333333334,0.20930232558139536
Kənd təsərrüfatı ərazilərinin boz meşə və açıq boz torpaqlar təşkil edir., Kəntə sarfahtə rəslilərinin boz meşəqə açıq torbqlar təşkil edir.,data/clips/common_voice_az_40474265.mp3,0.6363636363636364,0.273972602739726
Bunlara ilk növbədə təbii şəraitdə baş verən proseslər üzərində fasiləsiz müşahidələrin aparılması aiddir., Bunlara ikni öbəti təbih şəraydda başviran proseslər üzərində fəhzidəsiz müşahidələrin aparılması aəddir.,data/clips/common_voice_az_40474266.mp3,0.6153846153846154,0.1792452830188679
İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir.," İndi həmin qətin yolu, hətm-i yolu xətlə çəkilmişdir.",data/clips/common_voice_az_43264086.mp3,0.5,0.19230769230769232
Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir., Böyük skənlərin sətdəri ən son bölgə oldugu təhvəni edilir.,data/clips/common_voice_az_43264088.mp3,0.4444444444444444,0.2033898305084746
İlk boyu şaxta müşahidə edilir.," İl boya şəxtamış, ayd edilir.",data/clips/common_voice_az_43264089.mp3,0.8,0.3225806451612903
