reference,hypothesis,audio_path
Ölkə müsabiqədə iştirak etdiyi illər ərzində heç vaxt qalib olmamışdır., Ölkem savqiyada ştrak etdiyi ilər ərzində heç vaqqali boğmamışdır.,data/clips/common_voice_az_40474176.mp3
Ortada qalan meydançanın iki tərəfini tağlar və onların arxasında yerləşən otaqlar təşkil edir., Ortada qalan mədən çanın iki tərəfi taqlar və onlar narasında yerləşən o taqlar təşkil edir.,data/clips/common_voice_az_40474177.mp3
Dəmirçilər Tərtər rayonunun eyniadlı inzibati ərazi vahidində kənd., Dəmirçilər Tərtəl Royonunun eynil adlı inzibakə rəhisi vahidində kənd.,data/clips/common_voice_az_40474178.mp3
Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir., Maqaraların girecəyində aşqəridilmiş mədəni təbəqə qaldları onların qədin insan məsqələri olduğunu göstərir.,data/clips/common_voice_az_40474179.mp3
İlk işi Şabran şəhərini ələ keçirmək oldu., İlki kişi Şabran şəhri nələ keçirmək oldu.,data/clips/common_voice_az_40474180.mp3
Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.," Alə Amir uşaq yaşlarında, ailəsi ilə birlik də İsrailə kötü edib.",data/clips/common_voice_az_29987070.mp3
Kanalda İngilis və İspan dillərdə proqramlar nümayiş olunur.," Kanalda, İngiliz və İspandillərdə proqramlar nümayış olunur.",data/clips/common_voice_az_29987078.mp3
Təhsilini davam etdirmək istəsə də mümkün olmayıb.," Təhsilini, davam etdirməc istəsə də mümkün olmayıb.",data/clips/common_voice_az_29987089.mp3
Cənubi Koreyada.," Canubi, Corea da",data/clips/common_voice_az_29987092.mp3
Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır., Məxətləri ilərdə fərqilə sahələrdə iş fəaliyyətinə başlayır.,data/clips/common_voice_az_29987093.mp3
Kolbasa tam və ya doğranmış şəkildə servis edilir., Kalbasa tam və ya doğranmış açıldə servis edilir.,data/clips/common_voice_az_37653110.mp3
Çar ordusunda zabit kimi xidmət etmişdi., Sar ordusunda zabit kimi xidmət etmişdir.,data/clips/common_voice_az_37653111.mp3
Adada göl yoxdur., Adada göl yoxdur.,data/clips/common_voice_az_37653112.mp3
Bayraq mərasimi himnin sonu və cavabdeh müəllimin əmri ilə başa çatır., Bayrak mələsimi himnin sonu və çababdək müəllemin əmriyi də başa satır.,data/clips/common_voice_az_37653113.mp3
Orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir.," Orta həsirlərdə geniş yayılmış bu oyun, klasikə dəbiyatımızın limunələrinəndə dəbəldədir.",data/clips/common_voice_az_37653114.mp3
"İngiltərədə nəşr edilmiş bu ""Divan""da məhəbbət lirikası üstünlük təşkil edirdi.", İngiltəradən əşr edilmiş bu divanda mühəbbətleri qazı üstünlük təşkil edirdi.,data/clips/common_voice_az_30574004.mp3
Gürcüstan hökumət qüvvələri tez bir zamanda Abxaziyanın böyük bir hissəsinə nəzarəti bərpa etdi., Kürcistan hükümet quvvələri tiz bir zamanda Abqal camın qəyik bir hissəslə nəzarəti bərbəyətdir.,data/clips/common_voice_az_30574005.mp3
"Bundan başqa Xızır Nəbi ""Aşıq Qərib"" dastanının Azərbaycan versiyasının qəhrəmanıdır.", Bundan başqa xızır nəbi aşıq qərib dastandan Azərbaycan versəsinin qəhrəmandır.,data/clips/common_voice_az_30574006.mp3
Hindistanla Rusiya arasındakı strateji tərəfdaşlıq beş sahəni əhatə edir., İngilizcanlı Rusya rasunda strateji tərəf təklik 5 sahanı əhat edir.,data/clips/common_voice_az_30574007.mp3
Qəsəbə adını oradakı eyniadlı çayın adından almışdır., Gəsəbə adını oradaki eynadlı çayın adından almışdır.,data/clips/common_voice_az_30574008.mp3
Lena çayın sağ sahilində yerləşir., Lena çayın sağaq sakhilimdə yerləşir.,data/clips/common_voice_az_43516613.mp3
Ağstafa rayonunun Muğanlı kəndində dəfn olunub., Axtafa arəməmün uğanul qəndində dəfnə olmaq.,data/clips/common_voice_az_43516614.mp3
Bir oğul övladı var., Birə xul övlədə var.,data/clips/common_voice_az_43516617.mp3
Əsasən qar suları və yeraltı sularla qidalanır., Esəl sən qar suları və yer altı sularla gideladır.,data/clips/common_voice_az_43516622.mp3
Humanizm tərəfdarı deyildi., Humanizm təri aqdara deyipdə.,data/clips/common_voice_az_43516623.mp3
Əsasən dağlıq ərazidir., S.L. Dağılır ərazir.,data/clips/common_voice_az_43516624.mp3
İmişli şəhərində dəfn olunub., imişli şəhərində dəfin olunub.,data/clips/common_voice_az_37772750.mp3
Həmin dövrdən indiyədək Heydər Əliyev adına Saraya ləyaqətlə rəhbərlik edir.," Həmin dövrdən indiyanə dək, Hedərəliyə vadnəs saraya layaqətlər əhbərliyə yıqır.",data/clips/common_voice_az_37772752.mp3
Hər iki xəstəliyi aradan qaldıra bildi., Hər iki xəssəli aradan qaldırabildi.,data/clips/common_voice_az_37772755.mp3
Şəhər alim və ixtiraçı Nikola Teslanın doğulduğu yerdir., Şəhər alim və ixtiratlı Nikola Təslanın doğulduğu yerdir.,data/clips/common_voice_az_37772757.mp3
Və Braziliyanın ən böyük futbol klublarından biri hesab olunur., və Brazilyanın ən bəyi fıtboqlurlarından biri hesab olunur.,data/clips/common_voice_az_37772797.mp3
Hazırda xarabalıqları qalır., Hazırda xara balıxlar qaldır.,data/clips/common_voice_az_37772798.mp3
Daun sindromu ilə doğulan uşaqlarla erkən məşğul olmaq lazımdır., Down syndrome-i ilə doğulan şaqlarla ərkən məşğul olmaq lazımdır.,data/clips/common_voice_az_37772799.mp3
Salyan rayonunun Sarvan inzibati ərazi vahidində kənd., Salyan rayonunun sarva nizibati ərazı vahidində çandı.,data/clips/common_voice_az_37772800.mp3
Şaxtalı aylarda sahil ərazilər donur., Şəxdalı aylarda sahil ərazlər donur.,data/clips/common_voice_az_37772801.mp3
Siyasi mövzularda bir neçə kitabın müəllifidir., Siyasi möllarda bir nəcə kitabın və elifliridir.,data/clips/common_voice_az_36559374.mp3
İon kristallarda meydana gəlir.," Yəni, qalası dallarda mədələ gəlir.",data/clips/common_voice_az_36559378.mp3
Göl Balıqçılıq üçün əlverişlidir., Göz balasılıq üçün alübarışlıdır.,data/clips/common_voice_az_36559405.mp3
Şuşada doktor Mirzə Hüseyn bəy kimi tanınırdı., Şuşa da doktoru Mərdə Hüseyin bəyi kimi tanınırdı?,data/clips/common_voice_az_36559407.mp3
Bir müddət kikboksinq və futbol ilə məşğul oldu.," Bərimərdəd ki, bossing ging və fətbəl eləmək qululdu.",data/clips/common_voice_az_36559408.mp3
Uzun qara geyimləri və quru bir atı vardır., Ozun Qaraqəyimləri və quru bir adı vardır.,data/clips/common_voice_az_36559409.mp3
Bütün işlər barışıq hakimi tərəfindən təkbaşına həll edilirdi., Bütün müşrəl qarışıq hakiməyə tərəfindən təkbəşinə hələ dəlirdi.,data/clips/common_voice_az_36559441.mp3
Komanda yoldaşları bunun Oliverin mübarizə aparmaq üsulu olduğunu düşünürlər., Oman da yoldaşlara bunun oluverim və bazarı abarmak o söylü olduğunu düşünürlər.,data/clips/common_voice_az_36559442.mp3
Nuri bəy bu ilk cəhdindən böyük qazanc əldə etdi., Norubay bu ilk çəhdindən böyük qalınç əldə əddər.,data/clips/common_voice_az_36559444.mp3
Qurdlar camaatının bir tirəsinin adı idi., Qurlar çamatın bir tiresinin adı idi.,data/clips/common_voice_az_40474196.mp3
Saray kompleksi İran Mədəni İrs Təşkilatı tərəfindən idarə olunur., Saray Kompleksi İran Medeni ifstəşkilatı tərəfindən idare olunur.,data/clips/common_voice_az_40474199.mp3
Vətən müharibəsi başlayır., Vətən məlbəsi başlayır.,data/clips/common_voice_az_40474200.mp3
Virus qaraciyərdə və qanda tapılar., virus qaraciərdə və qanda taplar,data/clips/common_voice_az_40474226.mp3
Ərazisində çöl bitkiləri üstünlük təşkil edir., Eraycisində çöl bitkilər üstünlük təşkil edir.,data/clips/common_voice_az_40474229.mp3
Hərbi xidmətini başa vurduqdan sonra Abbasov Mingəçevir şəhərində elektrik quraşdırma idarəsində çalışıb., Hər bir xidmətini başa vurduqdan sonra Abbasov Mingə çevir şəhərində elektrik quraşdırmayı dəarehsində çalışıb.,data/clips/common_voice_az_40474230.mp3
Günəş Yerə ən yaxın ulduzdur., Günə şəri ən yaxın uduzdur.,data/clips/common_voice_az_40474243.mp3
Elşən Salayev Vətən Müharibəsində qəhrəmancasına şəhid olmuşdur., İnşin Salayıf Mətən mühalbəsində Qəhrimancasına şəyh doğmuşdur.,data/clips/common_voice_az_40474245.mp3
Quyruğu qısa olur., Qoyrux xısa olur.,data/clips/common_voice_az_40474263.mp3
Mahmud ailənin yeganə oğul övladı olmuşdur., Mahmudayləni yeqani oğul evlədə olmuştur.,data/clips/common_voice_az_40474264.mp3
Kənd təsərrüfatı ərazilərinin boz meşə və açıq boz torpaqlar təşkil edir., Kəntə sarfahtə rəslilərinin boz meşəqə açıq torbqlar təşkil edir.,data/clips/common_voice_az_40474265.mp3
Bunlara ilk növbədə təbii şəraitdə baş verən proseslər üzərində fasiləsiz müşahidələrin aparılması aiddir., Bunlara ikni öbəti təbih şəraydda başviran proseslər üzərində fəhzidəsiz müşahidələrin aparılması aəddir.,data/clips/common_voice_az_40474266.mp3
İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir.," İndi həmin qətin yolu, hətm-i yolu xətlə çəkilmişdir.",data/clips/common_voice_az_43264086.mp3
Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir., Böyük skənlərin sətdəri ən son bölgə oldugu təhvəni edilir.,data/clips/common_voice_az_43264088.mp3
İlk boyu şaxta müşahidə edilir.," İl boya şəxtamış, ayd edilir.",data/clips/common_voice_az_43264089.mp3
